Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Substrate Type]	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[soil environment exposure]	Unit	Term Source REF	Term Accession Number	Parameter Value[mean growth temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[container]	Parameter Value[light source]	Parameter Value[light intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[watering schedule]	Parameter Value[relative humidity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number of seeds germinated (out of 5 total)]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[gravity treatment]	Term Source REF	Term Accession Number	Parameter Value[pH]	Parameter Value[Plant Height]	Unit	Term Source REF	Term Accession Number	Parameter Value[Plant Biomass]	Unit	Term Source REF	Term Accession Number	Parameter Value[leaf area]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[pH]	Term Source REF	Term Accession Number	Parameter Value[Aluminum]	Unit	Term Source REF	Term Accession Number	Parameter Value[Nitrogen]	Unit	Term Source REF	Term Accession Number	Parameter Value[Carbon]	Unit	Term Source REF	Term Accession Number	Parameter Value[Cation Exchange Capacity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Calcium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Copper]	Unit	Term Source REF	Term Accession Number	Parameter Value[Magnesium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Manganese]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sodium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Phosphorus]	Unit	Term Source REF	Term Accession Number	Parameter Value[Nitrates]	Unit	Term Source REF	Term Accession Number	Parameter Value[ammonium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Potassium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Zinc]	Unit	Term Source REF	Term Accession Number	Parameter Value[Iron]	Unit	Term Source REF	Term Accession Number	Parameter Value[soil organic matter]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sand]	Unit	Term Source REF	Term Accession Number	Parameter Value[silt]	Unit	Term Source REF	Term Accession Number	Parameter Value[Clay]	Unit	Term Source REF	Term Accession Number
A3P2	A3P2	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	75% peat moss / 25% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	3	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			5.4	4.4	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	70.2	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.803	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	5.4			0.02	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.71	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	35.29	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	5370.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	12.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	4333.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	56.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	51.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	15	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	87.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	17.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	184	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	316	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	60.8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A1P3	A1P3	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	50% peat moss / 50% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			6.2	5.1	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	29.9	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.49	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	6.2			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.51	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33.86	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3826.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	13.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6338.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	57.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	66.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	32.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	46.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	177.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	229.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	35.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A2P3	A2P3	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	50% peat moss / 50% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	2	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			6.2	4.2	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	23.6	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.287	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	6.2			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.51	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33.86	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3826.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	13.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6338.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	57.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	66.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	32.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	46.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	177.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	229.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	35.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A3P3	A3P3	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	50% peat moss / 50% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	3	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			6.2	3.8	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	40.1	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.617	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	6.2			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.51	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33.86	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3826.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	13.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6338.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	57.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	66.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	32.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	46.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	177.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	229.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	35.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A1P4	A1P4	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	25% peat moss / 75% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	1	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			7	4.4	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	10.5	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.166	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	7			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	11.74	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	23.38	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3234.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	15.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6532.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	30.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	65.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	4.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	24.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	146.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	111	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	14.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A2P4	A2P4	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	25% peat moss / 75% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	1	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			7	4.6	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	0	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.27	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	7			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	11.74	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	23.38	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3234.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	15.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6532.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	30.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	65.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	4.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	24.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	146.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	111	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	14.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A3P4	A3P4	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	25% peat moss / 75% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	2	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			7	3.85	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	44.1	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.226	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	7			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	11.74	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	23.38	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3234.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	15.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6532.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	30.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	65.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	4.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	24.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	146.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	111	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	14.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A1P5	A1P5	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	100% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			8.1	4.625	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	75.6	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.349	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	8.1			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	8.15	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	1779.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	20.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6927	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	8.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	74.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	2.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	1.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	2.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	102	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	62.2	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	2.5	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A2P5	A2P5	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	100% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	2	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			8.1	3.05	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	48.7	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.113	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	8.1			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	8.15	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	1779.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	20.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6927	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	8.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	74.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	2.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	1.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	2.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	102	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	62.2	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	2.5	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A3P5	A3P5	Capsicum annuum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4072	Chimayo	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	100% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	3	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			8.1	3.933333333	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	147	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.501	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	8.1			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	8.15	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	1779.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	20.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6927	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	8.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	74.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	2.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	1.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	2.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	102	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	62.2	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	2.5	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
