Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
GeoMx No Template Control	NTC_Batch2	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable			Not Applicable				Treatment protocol	sample collection	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable			
C001	C001_SKN_L-44_IE_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_OE_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_VA_rep4	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_OD_rep4	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_IE_rep4	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_OE_rep4	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_VA_rep5	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_OD_rep5	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_IE_rep5	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_OE_rep5	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_VA_rep6	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_SKN_L-44_OD_rep6	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_IE_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_OE_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_OD_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_VA_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_L-44_IE_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_L-44_OE_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_L-44_OD_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_L-44_VA_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_L-44_VA_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_OD_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_OE_and_IE_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_VA_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_OE_and_IE_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_OD_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_VA_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_OE_and_IE_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_OD_rep4	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_SKN_R+1_VA_rep4	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_IE_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_OE_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_OD_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_VA_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_OD_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_VA_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_OD_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_VA_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_IE_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_OE_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_IE_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_SKN_R+1_OE_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_SKN_L-44_OE_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_SKN_L-44_IE_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_SKN_L-44_OD_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_SKN_L-44_VA_rep3	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_SKN_R+1_OE_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_SKN_R+1_IE_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_SKN_R+1_OD_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_SKN_R+1_VA_rep2	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
