Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Host Strain]	Characteristics[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Factor Value[Age]	Unit	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Euthanasia Location]	Factor Value[Dissection Condition]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Diet]	Parameter Value[Feeding Schedule]	Parameter Value[light cycle]	Parameter Value[habitat]	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[RFID]	Comment[Time between landing to euthanasia (day)]	Parameter Value[Carcass Preservation Method]	Comment[ALSDA Biospecimen ID]
BL_LAR_03	RRRM1_FCS_BSL_LAR_YNG_BL3	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2A7F6F76	2	Not Applicable	61217
BL_LAR_04	RRRM1_FCS_BSL_LAR_YNG_BL4	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E281B0E22	2	Not Applicable	61218
BL_LAR_05	RRRM1_FCS_BSL_LAR_YNG_BL5	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2A532705	2	Not Applicable	61219
BL_LAR_06	RRRM1_FCS_BSL_LAR_YNG_BL6	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E297B093D	2	Not Applicable	61220
BL_LAR_07	RRRM1_FCS_BSL_LAR_YNG_BL7	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2B367D7A	2	Not Applicable	61221
BL_LAR_08	RRRM1_FCS_BSL_LAR_YNG_BL8	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E29027312	2	Not Applicable	61222
BL_LAR_12	RRRM1_FCS_BSL_LAR_OLD_BL12	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E297B4D5E	2	Not Applicable	61223
BL_LAR_13	RRRM1_FCS_BSL_LAR_OLD_BL13	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E29122C32	2	Not Applicable	61224
BL_LAR_14	RRRM1_FCS_BSL_LAR_OLD_BL14	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2A100019	2	Not Applicable	61225
BL_LAR_15	RRRM1_FCS_BSL_LAR_OLD_BL15	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E29795422	2	Not Applicable	61226
BL_LAR_17	RRRM1_FCS_BSL_LAR_OLD_BL17	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2A567851	2	Not Applicable	61228
BL_LAR_18	RRRM1_FCS_BSL_LAR_OLD_BL18	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E27692245	2	Not Applicable	61229
BL_LAR_19	RRRM1_FCS_BSL_LAR_OLD_BL19	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E29505C30	2	Not Applicable	61230
BL_LAR_20	RRRM1_FCS_BSL_LAR_OLD_BL20	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Upon euthanasia	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Inhalation of Isoflurane	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E29267527	2	Not Applicable	61231
FL_ISS_01	RRRM1_FCS_FLT_ISS-T_YNG_FI1	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	23	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat)	Hut	OSD	https://osdr.nasa.gov/	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E29487F1F	Not Applicable	MELFI	115743
FL_ISS_02	RRRM1_FCS_FLT_ISS-T_YNG_FI2	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	23	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat)	Hut	OSD	https://osdr.nasa.gov/	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E27511214	Not Applicable	MELFI	115742
FL_ISS_03	RRRM1_FCS_FLT_ISS-T_YNG_FI3	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	23	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat)	Hut	OSD	https://osdr.nasa.gov/	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E28687D58	Not Applicable	MELFI	115741
FL_ISS_04	RRRM1_FCS_FLT_ISS-T_YNG_FI4	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	23	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat)	Hut	OSD	https://osdr.nasa.gov/	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E291C0F1A	Not Applicable	MELFI	115740
FL_ISS_05	RRRM1_FCS_FLT_ISS-T_YNG_FI5	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	23	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat)	Hut	OSD	https://osdr.nasa.gov/	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E27357A52	Not Applicable	MELFI	115739
FL_ISS_06	RRRM1_FCS_FLT_ISS-T_YNG_FI6	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	23	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat)	Hut	OSD	https://osdr.nasa.gov/	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2A38660D	Not Applicable	MELFI	115738
FL_ISS_07	RRRM1_FCS_FLT_ISS-T_YNG_FI7	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	23	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat)	Hut	OSD	https://osdr.nasa.gov/	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2B183D28	Not Applicable	MELFI	115737
FL_ISS_08	RRRM1_FCS_FLT_ISS-T_YNG_FI8	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	23	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat)	Hut	OSD	https://osdr.nasa.gov/	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2B332523	Not Applicable	MELFI	115736
FL_ISS_09	RRRM1_FCS_FLT_ISS-T_YNG_FI9	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	23	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Rodent Flight Hardware (Transporter and Habitat)	Hut	OSD	https://osdr.nasa.gov/	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E277F5C2E	Not Applicable	MELFI	115735
