Sample Name	Protocol REF	Extract Name	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Parameter Value[QA Instrument]	Parameter Value[gDNA fragment size]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Batch Number]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[Human Reads Removed]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Host Contamination]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[MultiQC File Names]
RRRM1_FCS_BSL_LAR_YNG_BL2	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_YNG_BL2	Agilent gDNA ScreenTape Assay	6.2	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	12922	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	612	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-063	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL2_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL2_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12194011	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.44	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	0.96	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_YNG_BL3	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_YNG_BL3	Agilent gDNA ScreenTape Assay	6.3	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	15691	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	568	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-063	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL3_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL3_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	9840818	read	SO	http://purl.obolibrary.org/obo/SO_0000150	11.55	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	3.77	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_YNG_BL4	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_YNG_BL4	Agilent gDNA ScreenTape Assay	5.7	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	13754	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	603	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-063	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL4_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL4_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12272354	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	1.61	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_YNG_BL5	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_YNG_BL5	Agilent gDNA ScreenTape Assay	6.8	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	10707	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	638	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL5_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL5_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	14192395	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	2.73	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_YNG_BL6	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_YNG_BL6	Agilent gDNA ScreenTape Assay	6.6	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	10453	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	655	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-064	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL6_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL6_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	13377124	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.99	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	1.11	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_YNG_BL7	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_YNG_BL7	Agilent gDNA ScreenTape Assay	6.5	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	10180	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	652	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL7_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL7_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	15124162	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	0.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_YNG_BL8	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_YNG_BL8	Agilent gDNA ScreenTape Assay	0	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	9829	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	649	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-064	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL8_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_YNG_BL8_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	11835619	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	1.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_OLD_BL12	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_OLD_BL12	Agilent gDNA ScreenTape Assay	6.6	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	21128	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	589	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-063	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL12_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL12_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12084884	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.94	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	7.39	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_OLD_BL13	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_OLD_BL13	Agilent gDNA ScreenTape Assay	6.8	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	10367	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	622	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-063	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL13_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL13_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12322285	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.74	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	2.28	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_OLD_BL14	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_OLD_BL14	Agilent gDNA ScreenTape Assay	0	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	Not Available	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	639	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL14_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL14_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	15952987	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.41	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	15.52	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_OLD_BL15	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_OLD_BL15	Agilent gDNA ScreenTape Assay	7.2	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	12154	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	641	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-064	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL15_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL15_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12332614	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.54	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	2.98	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_OLD_BL17	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_OLD_BL17	Agilent gDNA ScreenTape Assay	7.1	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	11432	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	665	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-064	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL17_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL17_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	11969383	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.41	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	3.42	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_OLD_BL18	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_OLD_BL18	Agilent gDNA ScreenTape Assay	6.4	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	9312	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	692	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL18_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL18_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	14484810	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	10.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_OLD_BL19	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_OLD_BL19	Agilent gDNA ScreenTape Assay	6.1	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	12433	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	604	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-063	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL19_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL19_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12617074	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.78	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	22.83	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_LAR_OLD_BL20	Nucleic Acid Extraction	RRRM1_FCS_BSL_LAR_OLD_BL20	Agilent gDNA ScreenTape Assay	6.9	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	16207	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	623	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-063	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL20_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_LAR_OLD_BL20_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12313576	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.29	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	5.27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_FLT_ISS-T_YNG_FI1	Nucleic Acid Extraction	RRRM1_FCS_FLT_ISS-T_YNG_FI1	Agilent gDNA ScreenTape Assay	6.3	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	9772	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	618	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI1_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI1_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	11477366	read	SO	http://purl.obolibrary.org/obo/SO_0000150	23.99	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	84.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_FLT_ISS-T_YNG_FI2	Nucleic Acid Extraction	RRRM1_FCS_FLT_ISS-T_YNG_FI2	Agilent gDNA ScreenTape Assay	6.5	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	12033	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	683	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-067	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI2_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI2_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	11901058	read	SO	http://purl.obolibrary.org/obo/SO_0000150	22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	70.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_FLT_ISS-T_YNG_FI3	Nucleic Acid Extraction	RRRM1_FCS_FLT_ISS-T_YNG_FI3	Agilent gDNA ScreenTape Assay	7.3	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	13207	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	683	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-067	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI3_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI3_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	11829467	read	SO	http://purl.obolibrary.org/obo/SO_0000150	16.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	47.24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_FLT_ISS-T_YNG_FI4	Nucleic Acid Extraction	RRRM1_FCS_FLT_ISS-T_YNG_FI4	Agilent gDNA ScreenTape Assay	6.6	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	11199	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	696	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-067	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI4_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI4_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	11710193	read	SO	http://purl.obolibrary.org/obo/SO_0000150	21.73	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	68.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_FLT_ISS-T_YNG_FI5	Nucleic Acid Extraction	RRRM1_FCS_FLT_ISS-T_YNG_FI5	Agilent gDNA ScreenTape Assay	6.7	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	12447	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	671	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-067	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI5_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI5_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	10329345	read	SO	http://purl.obolibrary.org/obo/SO_0000150	25.81	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	88.37	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_FLT_ISS-T_YNG_FI6	Nucleic Acid Extraction	RRRM1_FCS_FLT_ISS-T_YNG_FI6	Agilent gDNA ScreenTape Assay	7.3	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	11439	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	593	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI6_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI6_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12001354	read	SO	http://purl.obolibrary.org/obo/SO_0000150	23.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	82.13	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_FLT_ISS-T_YNG_FI7	Nucleic Acid Extraction	RRRM1_FCS_FLT_ISS-T_YNG_FI7	Agilent gDNA ScreenTape Assay	8.2	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	15566	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	620	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI7_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_FLT_ISS-T_YNG_FI7_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	8625495	read	SO	http://purl.obolibrary.org/obo/SO_0000150	28.46	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	94.46	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
