Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[cell type]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Characteristics[Study Subject]	Protocol REF	Protocol REF	Parameter Value[Treatment duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number
44	367443	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
45	367444	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
46	367445	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
47	367446	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
48	367447	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
49	367448	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
50	367449	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
51	367450	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
52	367451	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
53	367452	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
54	367453	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
56	367454	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
57	367455	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
58	367456	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
59	367457	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
60	367458	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
61	367459	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
62	367460	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
63	367461	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
64	367462	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
65	367463	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
66	367464	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
67	367465	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
68	367466	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
69	367467	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
70	367468	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
71	367469	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
72	367470	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
73	367471	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
74	367472	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
75	367473	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
76	367474	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
77	367475	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
78	367476	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
79	367477	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
80	367478	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
